schema_version,arm,case_id,success,diagnostic_code,input_bytes,input_mib,page_count,extracted_codepoints,extracted_utf8_bytes,word_count,estimated_tokens,chunk_count,coverage_codepoints,total_chunk_codepoints,excess_overlap_codepoints,overlap_ratio,chunk_min_codepoints,chunk_mean_codepoints,chunk_median_codepoints,chunk_max_codepoints,output_sha256
1.0,real,real-001,True,ok,1296541,1.2364778518676758,8,23714,23988,3567,5928,15,23714,29090,5376,0.22670152652441597,418,1939.3333333333333,2048,2048,7c561f851b9bb2f494e5981964ff579000a325f66cf856e33a2457763e45a504
1.0,real,real-002,True,ok,1450427,1.383234977722168,8,27654,27773,3931,6913,17,27654,33798,6144,0.22217400737687135,1030,1988.1176470588234,2048,2048,0889e737258abbc64a5b8ab69641dc6ca5261b5a93c32767caf8fbc9b8fa3c59
1.0,real,real-003,True,ok,4672354,4.455904006958008,16,61480,62406,10135,15370,37,61480,75304,13824,0.22485361093038386,1576,2035.2432432432433,2048,2048,cf5ee0c9075ef2dd940ba955a31de7210a969cf18b0b0c16d7137c6c7c5e121e
1.0,real,real-004,True,ok,1426833,1.360733985900879,8,29327,29419,4194,7331,18,29327,35855,6528,0.2225935145088144,1039,1991.9444444444443,2048.0,2048,c870a2c28db7d8feac937d13da71291e9cde8174a5bac457bf5a7f079951f2d4
1.0,real,real-005,True,ok,2464143,2.349989891052246,26,104128,105183,18008,26032,63,104128,127936,23808,0.22864167178856792,960,2030.7301587301588,2048,2048,be24fb84961b81f0b50facf05ccfea2de00be1c9f5993d93281aadf0a1bf76ed
1.0,real,real-006,True,ok,16221373,15.4699068069458,64,172090,172959,26691,43022,104,172090,211642,39552,0.22983322679993026,698,2035.0192307692307,2048.0,2048,99dc8156f442eb078c37f8f1cceaf2f06f3f78d3dda6bb5f4d6a13845ae49669
1.0,real,real-007,True,ok,31522977,30.06265354156494,94,588060,591083,96565,147015,354,588060,723612,135552,0.2305070911131517,668,2044.1016949152543,2048.0,2048,cbc9bc186014ac75b36d9439c7f2306a7105452f26c50b0aed04e2d7758fa436
1.0,real,real-008,True,ok,856640,0.81695556640625,10,39217,39551,5990,9804,24,39217,48049,8832,0.22520845551674018,945,2002.0416666666667,2048.0,2048,f24bc86b03a56bbee0da2852b98dbf741ae9643e3796b82ac595a6c7268489a9
1.0,real,real-009,True,ok,2683362,2.559053421020508,19,48548,49891,8910,12137,30,48548,59592,11044,0.22748619922550878,292,1986.4,2048.0,2048,d4760a26e1ed92cd4af760f4c576fd7421c37bdce94846375261f0cae9702074
1.0,real,real-010,True,ok,1424841,1.3588342666625977,48,194860,195543,25902,48715,118,194860,239576,44716,0.2294775736426152,172,2030.3050847457628,2048.0,2048,101b2fb3a5595aa0ae383cf4c9ebba9c4b820e71997a6b08a1aff6c01bd41faa
1.0,real,real-011,True,ok,5389891,5.140200614929199,55,204302,206242,32032,51075,123,204302,251150,46848,0.22930759366036554,1294,2041.8699186991869,2048,2048,a9ba4fd443efcdf6ee8416fde039ed71cd3e2af44d94ad29e5798391d06c566c
1.0,real,real-012,True,ok,11982418,11.427324295043945,25,107517,108764,18688,26879,65,107517,132093,24576,0.228577806300399,1021,2032.2,2048,2048,1ad677e4823e1169f0ab7320fa4e38f268ba40183db49f2f0e01625505b8d25b
1.0,real,real-013,True,ok,6683316,6.373706817626953,57,251704,253921,40150,62926,152,251704,309688,57984,0.2303658265263961,440,2037.421052631579,2048.0,2048,6df8d872a6a4ecd55588efe1fcb0bef4a75c2f67020c3a81140d37d576f83bbc
1.0,real,real-014,True,ok,3588553,3.4223108291625977,20,49965,50242,7975,12491,31,49965,61146,11181,0.22377664365055538,45,1972.4516129032259,2048,2048,a536cc318bcdc60978d8f0a084814b65b85b3e2ca71c50f986ed701665b90e41
1.0,real,real-015,True,ok,1426954,1.360849380493164,11,34643,34823,4937,8660,21,34643,42323,7680,0.22168980746471148,1363,2015.3809523809523,2048,2048,ccbdb952d61709d8bc1f96e090fd66008c59750e2d23e6146c3575163e9fa6d8
1.0,real,real-016,True,ok,3354220,3.198833465576172,26,96884,97418,14636,24221,59,96884,119144,22260,0.22975929978118162,372,2019.3898305084747,2048,2048,39daf15b500b60c74e1f625e69a421d526b6dda020d5f52fc7ddf7713b40afcc
1.0,real,real-017,True,ok,561855,0.5358266830444336,6,23838,24099,3436,5959,15,23838,29214,5376,0.22552227535867103,542,1947.6,2048,2048,43cb9c5ec1ea73405fabaab6a979e9454aff4e60dce31f1da357a45aa7b491fd
